ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
0.059,-0.003,0.974,-1.598,2.781,1.650,2
0.038,-0.011,0.953,-2.576,-2.290,0.994,2
0.056,0.023,0.982,4.967,-17.000,1.996,2
0.076,0.034,1.066,7.341,-9.519,2.203,2
0.047,-0.013,1.039,-0.062,0.192,-0.146,2
0.038,0.008,1.025,-5.754,3.572,3.585,2
0.027,0.043,0.999,-6.348,6.486,1.892,2
0.022,0.027,1.000,-4.741,4.795,-0.180,2
0.033,0.067,0.985,1.684,7.421,-1.355,2
0.050,-0.005,0.954,2.592,3.860,-3.082,2
0.058,-0.001,1.001,-1.249,5.551,-0.111,2
0.073,-0.064,0.904,-3.275,5.299,-2.322,2
0.072,-0.064,0.973,-4.532,-1.463,6.797,2
0.069,0.058,0.969,-4.287,-1.930,6.866,2
0.053,0.037,1.003,-6.278,-3.441,3.999,2
0.048,0.058,1.018,-3.275,-0.168,1.858,2
0.040,0.001,0.947,0.252,-2.182,0.303,2
0.032,0.026,1.040,2.348,-7.757,5.243,2
0.039,0.053,1.006,1.894,-1.643,1.512,2
0.042,0.047,1.007,-0.132,-2.002,1.098,2
0.041,0.060,1.011,0.357,0.659,-0.353,2
0.030,0.073,1.001,1.859,1.882,-2.702,2
0.031,0.010,0.953,4.722,-0.816,-6.916,2
0.037,-0.012,1.001,4.373,-1.283,-1.216,2
0.047,0.015,0.988,3.814,-0.564,-1.838,2
0.054,-0.025,0.992,0.357,-0.096,-2.114,2
0.046,-0.010,0.985,-3.763,0.407,-0.318,2
0.054,0.028,1.020,-5.859,-2.326,-0.284,2
0.050,0.025,1.010,-2.157,2.314,-2.253,2
0.048,0.004,1.013,0.636,2.565,1.063,2
0.046,0.014,0.962,1.055,3.572,1.167,2
0.035,0.017,0.969,-2.716,-0.672,1.340,2
0.029,0.011,1.010,-3.344,-4.196,1.236,2
0.035,0.079,1.017,1.055,0.911,2.928,2
0.034,0.047,1.019,1.055,1.307,-2.391,2
0.038,0.043,1.008,0.881,5.587,-1.700,2
0.043,0.025,1.008,-1.948,5.407,-3.047,2
0.044,0.033,0.989,-0.411,6.054,-2.011,2
0.044,0.011,0.980,-0.202,3.896,-2.771,2
0.053,0.037,0.984,2.941,2.745,-0.077,2
0.053,0.036,0.992,2.452,1.738,-3.427,2
0.057,0.011,0.981,1.440,3.680,-3.945,2
0.052,0.008,0.980,-1.075,-0.456,-3.254,2
0.054,0.014,0.997,0.846,2.206,-1.458,2
0.055,0.046,0.986,3.221,1.594,-1.562,2
0.057,0.014,0.975,3.954,2.853,-4.221,2
0.059,0.018,0.985,2.732,0.623,-1.804,2
0.056,0.031,0.969,0.741,1.307,-2.529,2
0.055,0.025,0.979,-0.551,-2.290,-3.323,2
-0.215,-1.079,0.686,-31.944,-179.316,127.343,3
-0.404,-2.552,0.971,-52.058,-240.747,281.289,3
-1.163,-2.667,1.627,-132.968,-166.225,587.212,3
-1.631,-1.039,1.674,-196.349,107.587,722.334,3
-1.986,-0.494,0.801,-266.818,301.409,662.234,3
-1.766,0.847,-0.202,-262.732,247.963,654.911,3
-1.465,3.118,1.454,-296.709,220.557,490.949,3
-0.751,1.526,-0.363,-205.567,214.191,269.200,3
-0.437,1.331,0.622,-135.937,20.584,205.369,3
-0.267,0.650,0.731,-121.724,36.985,174.559,3
-0.160,1.100,0.732,-96.861,13.823,166.857,3
-0.138,1.154,0.781,-22.900,-21.964,97.603,3
-0.128,0.380,0.993,11.392,-33.797,59.678,3
-0.044,0.219,0.772,16.316,-16.749,63.719,3
-0.013,0.371,0.685,-1.878,-38.364,68.002,3
-0.047,0.269,0.800,-7.535,-57.283,61.474,3
-0.119,0.490,1.162,-9.176,-48.435,60.542,3
-0.168,0.577,1.092,-1.040,-25.380,38.229,3
-0.181,0.054,0.969,16.909,-31.926,29.421,3
-0.156,0.409,1.044,23.195,-5.995,56.155,3
-0.183,0.477,0.657,7.970,-18.439,35.362,3
-0.239,0.551,0.874,1.300,-26.603,16.054,3
-0.281,0.712,1.170,-14.065,-22.791,-13.064,3
-0.318,0.200,1.302,-21.747,34.252,-38.209,3
-0.236,-0.030,0.745,-2.506,45.509,-6.605,3
-0.162,0.447,0.579,3.640,21.663,4.276,3
-0.167,0.452,0.613,3.290,-9.987,-12.684,3
-0.200,0.430,0.794,3.360,-26.891,-17.278,3
-0.243,0.488,0.952,11.951,-32.250,-31.405,3
-0.211,0.271,0.967,19.563,-1.355,-32.579,3
-0.188,0.317,0.754,27.176,-16.856,-19.143,3
-0.203,0.494,0.862,20.087,-21.928,-34.651,3
-0.253,0.673,0.954,20.541,-25.848,-45.186,3
-0.260,0.382,1.211,21.135,-21.244,-70.193,3
-0.213,0.134,1.017,17.293,15.513,-65.634,3
-0.172,0.463,0.758,22.846,14.758,-53.441,3
-0.187,0.842,0.750,28.992,-6.966,-72.542,3
